
<Log started at 08-08-2022, 09:07:57.558>
09:07:57.593: 🐙 AzimuthSuite v1.0.0.0 
09:07:57.924: Loading settings from AzimuthSuit.settings
09:07:58.025: Current application settings:
09:07:58.028: 
-- UseAUXGNSSCompas: True
-- AUXGNSSCompasBaudrate: baudRate38400
-- IsUseOutputport: False
-- OutPortBaudrate: baudRate9600
-- RemoteAddressToOutput: REM_ADDR_1
-- HeadingAdjust_deg: 0
-- LongitudalOffset_m: 0
-- TransverseOffset_m: 0
-- Salinity_PSU: 0
-- AddressMask: 1
-- MaxDist_m: 500
09:08:10.030: IsActive=True
09:09:09.500: INFO: COM6 (GNSS) >> $HEHDT,332.09,T*14
09:09:09.596: INFO: COM6 (GNSS) >> $HEHDT,331.96,T*11
09:09:09.708: INFO: COM6 (GNSS) >> $HEHDT,331.95,T*12
09:09:09.804: INFO: COM6 (GNSS) >> $HEHDT,331.87,T*11
09:09:09.900: INFO: COM6 (GNSS) >> $HEHDT,331.86,T*10
09:09:09.996: INFO: COM6 (GNSS) >> $HEHDT,331.92,T*15
09:09:10.089: INFO: COM17 (AZM) >> $PAZM3,1,0,0,0,18.7,-0.002600,-3.9,,0.0,88.0,90.0,1061.02,25.6,,1.9,1.8
09:09:10.108: INFO: COM6 (GNSS) >> $HEHDT,331.97,T*10
09:09:10.204: INFO: COM6 (GNSS) >> $HEHDT,332.01,T*1C
09:09:10.204: INFO: COM6 (GNSS) >> $HEROT,-19.0,A*3E
09:09:10.235: INFO: COM6 (GNSS) >> $GPGNS,060911.00,4830.0884488,N,04433.2368545,E,A,24,0.6,-1.113,3.763,,,S*6D
09:09:10.265: INFO: COM6 (GNSS) >> $GPGNS,060911.00,,,,,,9,,,,,,S*2A
09:09:10.265: INFO: COM6 (GNSS) >> $GNGNS,060911.00,4830.0884488,N,04433.2368545,E,AAA,24,0.6,-1.113,3.763,,,S*73
09:09:10.265: INFO: COM6 (GNSS) >> $GLGNS,060911.00,,,,,,6,,,,,,S*39
09:09:10.296: INFO: COM6 (GNSS) >> $GPHEV,0.79,*5C
09:09:10.296: INFO: COM6 (GNSS) >> $GAGNS,060911.00,,,,,,4,,,,,,S*36
09:09:10.296: INFO: COM6 (GNSS) >> $GPRMC,060911.00,A,4830.0884488,N,04433.2368545,E,0.18,10.74,080822,9.6,E,A,S*75
09:09:10.312: INFO: COM6 (GNSS) >> $HEHDT,332.00,T*1D
09:09:10.393: INFO: COM6 (GNSS) >> $HEHDT,332.10,T*1C
09:09:10.504: INFO: COM6 (GNSS) >> $HEHDT,332.14,T*18
09:09:10.601: INFO: COM6 (GNSS) >> $HEHDT,332.16,T*1A
09:09:10.697: INFO: COM6 (GNSS) >> $HEHDT,332.24,T*1B
09:09:10.793: INFO: COM6 (GNSS) >> $HEHDT,332.31,T*1F
09:09:10.906: INFO: COM6 (GNSS) >> $HEHDT,332.44,T*1D
09:09:10.921: INFO: COM17 (AZM) >> $PAZM3,1,0,0,0,15.9,-0.001175,-1.7,,0.0,183.5,90.0,1063.27,25.6,,2.4,1.2
09:09:11.001: INFO: COM6 (GNSS) >> $HEHDT,332.48,T*11
09:09:11.097: INFO: COM6 (GNSS) >> $HEHDT,332.51,T*19
09:09:11.193: INFO: COM6 (GNSS) >> $HEHDT,332.54,T*1C
09:09:11.224: INFO: COM6 (GNSS) >> $HEROT,-9.1,A*0E
09:09:11.224: INFO: COM6 (GNSS) >> $GPGNS,060912.00,4830.0885171,N,04433.2368762,E,A,24,0.6,-0.987,3.763,,,S*6F
09:09:11.254: INFO: COM6 (GNSS) >> $GPGNS,060912.00,,,,,,9,,,,,,S*29
09:09:11.254: INFO: COM6 (GNSS) >> $GNGNS,060912.00,4830.0885171,N,04433.2368762,E,AAA,24,0.6,-0.987,3.763,,,S*71
09:09:11.285: INFO: COM6 (GNSS) >> $GLGNS,060912.00,,,,,,6,,,,,,S*3A
